_recordId,_createdTime,Role,Company,Grade,Notes,Date,Status,Tracker #
rec5TSMRnC8lKmgeH,2026-06-12T04:08:07.000Z,Senior Scrum Master (Hybrid),raytheon,A,auto-submit re-run 2026-06-06,2026-06-03,Blocked,164
rec5eWPsVd6lQXjrP,2026-06-12T04:04:47.000Z,Current openings at Edmentum,edmentum,4.0/5,auto-submit re-run 2026-05-19,2026-05-19,Evaluated,56
rec5nclO9pK83eRFh,2026-06-12T04:08:07.000Z,Manufacturing Professional Training Lead / Staff Project Manager,northrop grumman,B,auto-submit re-run 2026-06-03,2026-06-03,Blocked,157
rec5tueKTGUfYZdel,2026-06-12T04:08:54.000Z,Page not found,app,B,auto-submit re-run 2026-06-07,2026-06-05,Blocked,190
rec67RaSKE3UfGBR5,2026-07-22T05:17:56.000Z,Technical Program Manager - Data Center Delivery,Lambda Labs,B,,,,
rec6Ayd39QRlAgYQJ,2026-06-28T05:14:38.000Z,"Principal Product Manager, Diner Engagement",OpenTable,C,,,,
rec6E54Libj2HJkJq,2026-06-12T04:04:47.000Z,Senior Technical Program Manager,humaninterest,4.0/5,auto-submit re-run 2026-05-21,2026-05-07,Blocked,7
rec6LfIcOzgJ09AaI,2026-06-21T08:02:16.000Z,Field Technical Program Manager,Databricks,C,"Hi Denny, hope you're doing well! I noticed Databricks has a couple of open roles right now, Field Technical Program Manager and Program Manager (Product), that line up really well with my background. I've spent the last 13 years leading agile delivery and program management across fintech and healthcare (PMP and Advanced CSM certified), and both of these feel like a strong fit. Would you be open to a quick chat, or could you point me toward the right person for a referral? Happy to send my resume over either way. Thanks so much, really appreciate any help.",,,
rec6PaZjy8Movdoj0,2026-06-12T04:04:47.000Z,Unknown Role (TD-12),mitratech,4.0/5,auto-submit re-run 2026-05-19,2026-05-19,Evaluated,46
rec6yL697SFWHAS7h,2026-06-18T05:14:31.000Z,"Design Program Manager, AI",Stripe,B,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
rec70BAx4U8SPmEIL,2026-07-22T05:17:55.000Z,"Sr. Product Manager, Core Saving Experience",Pinterest,C,,,,
rec72FyamPihcavUu,2026-06-18T05:14:28.000Z,"Operations Program Manager, Capital Collections",Stripe,B,"Covered by live-2026-06-12-30. Consolidated message to Shamila references this role too (Operations Program Manager, Capital Collections). See that card for the ready to send message.",,,
rec7GjWj5SDhWl6uf,2026-06-12T04:04:47.000Z,Program Manager,ludiaconsulting,—,no-submit-button (board redirect),2026-05-21,Blocked,68
rec7M5xcQkS45iwVC,2026-06-12T04:08:54.000Z,Scaled Agile Product Owner/Scrum Master Coach (Remote),raytheon,A,auto-submit re-run 2026-06-07,2026-06-05,Blocked,191
rec7XX3XCx141SY63,2026-07-04T05:16:44.000Z,"Staff Product Manager, AI",Brex,C,,,,
rec8Y88xuxUlke99x,2026-06-28T05:14:38.000Z,"Senior Program Manager, Retail Strategy and Operations",Toast,C,,,,
rec8Yx54B08BLjXOp,2026-07-13T05:17:45.000Z,"Product Manager, Risk Product Experience",Stripe,C,RESTORED 2026-07-08 after archive-stale reaped it (r14 recurrence #4). Original Created At: 2026-07-03. Waiting on Rahil → warm referral via Shamila Zindani Merchant.,,,
rec8ZO6K68CSocIpQ,2026-06-12T04:04:47.000Z,"Staff Technical Program Manager, Security",gofundme,4.0/5,auto-submit re-run 2026-05-19,2026-05-07,Evaluated,6
rec8jW2XuY7LGkFh9,2026-06-12T04:04:47.000Z,Program Manager,coupa,—,404 dead posting,2026-05-21,Blocked,70
rec8l7LFrwej1VpY0,2026-06-12T04:06:36.000Z,About Stripe,stripe,A,auto-submit re-run 2026-06-01,2026-05-28,Blocked,100
rec8rN4Uzv2KUQRe5,2026-06-12T04:08:07.000Z,Low Latency Infrastructure Senior Program Manager,citi,A,auto-submit,2026-06-03,Blocked,169
rec8rW0zIuIGSt6Ny,2026-07-09T05:16:00.000Z,Apprentice Product Manager,Pinterest,C,,,,
rec8x0D6P5Jy7S3j0,2026-06-12T04:08:54.000Z,Senior Technical Product Manager R5042969 3,gevernova,B,auto-submit,2026-06-05,Blocked,186
rec96Z278lqGSAQQQ,2026-06-12T04:04:47.000Z,Program Manager,anaplan,5.0/5,auto-submit re-run 2026-05-21,2026-05-14,Blocked,33
rec9EbhpgjYhnALYk,2026-06-12T04:06:36.000Z,Senior Principal Systems Engineer - Technical Program Manager (ONSITE),raytheon,B,auto-submit re-run 2026-06-03,2026-05-28,Blocked,119
rec9MUkBhZ50QLQ14,2026-06-12T04:04:47.000Z,Not found 404 error,coupa,4.0/5,auto-submit re-run 2026-05-19,2026-05-19,Evaluated,55
rec9vEunNsIJa7mBT,2026-06-12T04:04:47.000Z,Current openings at Ludia Consulting,ludiaconsulting,4.0/5,auto-submit re-run 2026-05-21,2026-05-14,Blocked,29
recA1ydstW3roPHQ3,2026-06-12T04:06:36.000Z,Page not found,pinterestcareers,A,auto-submit re-run 2026-05-28,2026-05-28,Blocked,97
recA39MnKR60HuHcl,2026-06-25T05:16:38.000Z,"Principal Product Manager, IAM Security & Agentic Identity",Okta,C,,,,
recA9PbxCajroWfC5,2026-06-18T05:14:30.000Z,"Technical Program Manager, Security",Figma,B,,,,
recAB1suiI6fyhleM,2026-07-07T05:18:31.000Z,Product Manager II- IDP,Datadog,C,,,,
recAJG6JH8P79gLMI,2026-06-12T04:06:36.000Z,Technical Program Manager,motorolasolutions,B,,2026-05-23,Blocked,95
recAXENCwKMG5Km60,2026-06-12T04:08:07.000Z,Senior Manager   Digital Product Manager R0840519 1,cvshealth,A,auto-submit,2026-06-02,Blocked,141
recAeaoLG0K70MOfQ,2026-06-12T04:08:07.000Z,Senior EHS Program Manager - East Region,medtronic,B,auto-submit re-run 2026-06-03,2026-06-03,Blocked,160
recAzxnnqsIqIfDjO,2026-06-18T05:14:29.000Z,Program Manager,Stripe,C,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
recB1gufDw92ybkp8,2026-06-12T04:08:54.000Z,Senior Engineering Program Manager - Quality Core Team Member,medtronic,B,auto-submit re-run 2026-06-07,2026-06-05,Blocked,197
recBBqNdirwG0RqJI,2026-06-18T05:14:29.000Z,Principal Project Implementation Delivery Manager,Anaplan,C,,,,
recBJG7XC0KNPEIU6,2026-07-04T05:16:44.000Z,Senior Product Manager,Samsara,C,,,,
recBe5IToj0MTloqg,2026-06-12T04:06:36.000Z,Lead Project Manager,gevernova,A,auto-submit re-run 2026-06-05,2026-05-28,Blocked,112
recBelLrETYogqfTf,2026-06-12T04:04:47.000Z,Technical Program Manager,acorns,4.0/5,auto-submit re-run 2026-05-21,2026-05-19,Submitted,57
recBieQ41pHwujUDd,2026-06-28T05:14:38.000Z,"Senior Technical Program Manager, Infrastructure",Lyft,B,,,,
recBlxcSJ6GUcvhvm,2026-06-12T04:08:54.000Z,Clinical Technology Product Manager - Interoperability,cvshealth,A,auto-submit re-run 2026-06-07,2026-06-05,Blocked,192
recC36rDyZwKuWfNr,2026-06-12T04:04:47.000Z,Project Manager/Scrum Master (She/He/They),capco,4.0/5,auto-submit re-run 2026-05-19,2026-05-14,Evaluated,38
recCFkrTtikP2e3N7,2026-06-12T04:08:07.000Z,Senior Technical Product Manager,gevernova,B,auto-submit re-run 2026-06-04,2026-05-29,Blocked,136
recCIry996XiM0fIF,2026-06-12T04:08:07.000Z,Engineering Program Manager Level 3/4,northrop grumman,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,175
recCQMjtuPtGPDGVt,2026-07-22T05:17:55.000Z,Staff Product Manager - Observability,Lambda Labs,C,,,,
recCbLdUOT9m3uiAJ,2026-06-12T04:08:54.000Z,Program Manager West Coast Region - US Remote,motorolasolutions,A,auto-submit re-run 2026-06-07,2026-06-05,Blocked,201
recCnK8nljE9QCLMC,2026-06-21T08:02:16.000Z,"Staff Product Manager, Business Travel",Lyft,C,,,,
recCnxPPmMPBP3mdQ,2026-06-12T04:06:36.000Z,T-MOBILE CAREERS,tmobile,B,auto-submit re-run 2026-06-07,2026-05-23,Blocked,94
recCtAmPZYDgEBTQy,2026-06-25T05:16:38.000Z,"Staff Technical Program Manager, SOX Compliance",Pinterest,B,,,,
recCzOfVjMcQwUU1j,2026-06-12T04:06:36.000Z,Careers,philips,B,auto-submit re-run 2026-06-01,2026-05-23,Blocked,93
recD1g3n9a8gjr364,2026-06-12T04:06:36.000Z,Who we are,stripe,B,,2026-05-26,Blocked,96
recD9POKqDuZ7ND7J,2026-07-09T05:16:00.000Z,"Associate Program Manager, Technical Operations",Lyft,C,,,,
recD9S4UEGk3OpJ1a,2026-06-12T04:06:36.000Z,"Technical Product Manager, Service Management Platform, Service Catalog & Request",raytheon,A,auto-submit re-run 2026-06-02,2026-05-28,Blocked,98
recDAkRfPWtymZaMm,2026-07-04T05:16:44.000Z,"Senior Product Manager, Product Platform",Okta,C,,,,
recDC1REjDl5MSjqO,2026-06-12T04:08:54.000Z,Unknown Role,elevancehealth,A,auto-submit,2026-06-04,Blocked,183
recDGmZATp8RRLk0Y,2026-06-12T04:04:47.000Z,Unknown Role (TD-12),stripe,5.0/5,auto-submit re-run 2026-05-24,2026-05-19,Blocked,53
recDMmiJgyT6JG3Sf,2026-06-12T04:08:07.000Z,"Material Program Manager - McKinney, TX (Hybrid)",raytheon,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,171
recDSLs5L53xz5MX6,2026-06-12T04:08:07.000Z,"Sr. Engineering Program Manager (Sphere-360 Catheter Launch & Lifecycle Execution), Mounds View, MN",medtronic,A,auto-submit re-run 2026-06-03,2026-06-03,Blocked,155
recDZ2Bk43RdOkJMM,2026-07-22T05:17:55.000Z,"Program Manager, Autonomous Partnership Programs",Lyft,C,,,,
recDZfkZ8xIYd26nB,2026-07-22T05:17:56.000Z,Senior Product Manager - AI,Delinea,C,,,,
recDvGvbe2coRkYpd,2026-06-18T05:14:30.000Z,"Technical Program Manager, AI Performance",Figma,B,,,,
recE9BL6n36hfIWq7,2026-07-24T05:17:42.000Z,"Principal Product Manager, Enterprise Commerce Platform",Twilio,C,,,,
recEBttWqNlJMXl7S,2026-07-22T05:17:56.000Z,"Principal Group Product Manager, B2B (Auth0)",Okta,C,,,,
recEHD9obIVQrocGB,2026-06-12T04:08:54.000Z,Customer Success Program Manager – Neuromodulation,medtronic,A,auto-submit re-run 2026-06-07,2026-06-05,Blocked,196
recEOcFzTWOtHrYE6,2026-06-18T05:14:29.000Z,Technical Program Manager II [Remote-US],Quanata,A,,,,
recEpKvW80kkby0rw,2026-07-03T05:16:50.000Z,Senior Partner Program Manager - Pricing & Deal Strategy,Datadog,C,,,,
recEruCP2PVLuEsCu,2026-06-21T08:02:16.000Z,"[Job - 29592] Technical Program Manager (Short Assignment - 6 months), Plano, Texas (USA)",CI&T,B,,,,
recEykKWX1lhBEjHY,2026-07-05T05:17:21.000Z,Lead Technology Product Manager,Wolters Kluwer,C,"Manually filed by Rahil via job-board screenshot, not auto-scanned. Graded with worker-grader.mjs keyword-count rubric (1 keyword match = C). No LinkedIn connection on file for Wolters Kluwer.",,,
recEzu9tUoP0qeGsE,2026-06-12T04:06:36.000Z,System Integration Lab Manager - Program Manager 3,northrop grumman,B,auto-submit re-run 2026-06-06,2026-05-29,Blocked,128
recFEjBQy3GvP9DQC,2026-06-12T04:08:07.000Z,Senior Product Manager - Pharma Analytics Products,cvshealth,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,174
recFGWkSXHqpz5RNu,2026-06-12T04:08:07.000Z,Senior Manager   Scrum Master R0920783,cvshealth,A,auto-submit re-run 2026-06-04,2026-06-02,Blocked,147
recFbFQRKLeAI2nBw,2026-06-12T04:08:07.000Z,Manager   Scrum Master R0918501,cvshealth,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,172
recFgdiMRqWUcOty3,2026-06-12T04:06:36.000Z,"Senior Project Manager, Delivery Coordinator",humana,A,auto-submit,2026-05-28,Blocked,116
recFlpyI2dttnKgvI,2026-07-16T03:23:37.000Z,Senior Technical Product Manager,The Zebra,C,,,,
recFsFIRhsCZpvo0k,2026-06-12T04:04:47.000Z,Technical Program Manager,acorns,4.0/5,bat 6:10am — unverified (no confirm signal check pre-fix),2026-05-21,Submitted,79
recFvw0khiRHS9UFQ,2026-06-12T04:04:47.000Z,Sr Program Manager Data for Good,databricks,4.5/5,bat 6:10am — unverified (no confirm signal check pre-fix),2026-05-21,Submitted,81
recG3pO7EYtqbsO5A,2026-06-12T04:08:07.000Z,Unknown Role,northrop grumman,B,auto-submit,2026-06-03,Blocked,153
recG55OEV6MInzOT5,2026-06-12T04:04:47.000Z,Sr Staff TPM Reliability,databricks,4.5/5,bat 6:10am — unverified (no confirm signal check pre-fix),2026-05-21,Submitted,78
recGOWMCb2UNjZ5Ui,2026-06-12T04:08:07.000Z,Senior Product Manager - Database AI Optimization,datadog,B,auto-submit re-run 2026-06-03,2026-06-02,Blocked,145
recGTmNs8eKatHxIx,2026-07-22T05:17:55.000Z,Staff Product Manager - Security,Lambda Labs,C,,,,
recGToyfNgvkScnvx,2026-07-14T05:16:22.000Z,Product Manager II - Security Graph Experience,Datadog,C,,,,
recGUXq26EE1eXGXH,2026-06-12T04:06:36.000Z,Careers at Workday,workday,A,auto-submit re-run 2026-06-07,2026-05-28,Blocked,118
recH1qdLMbHUZZkXx,2026-06-12T04:06:36.000Z,"Staff Product Manager, Dashboard",stripe,A,auto-submit re-run 2026-05-24,2026-05-23,Blocked,88
recH7OtRmj1wXzH9p,2026-06-12T04:08:07.000Z,Lead Program Manager Supply Chain (Minneapolis),target,A,auto-submit re-run 2026-06-03,2026-06-03,Blocked,163
recHHjuG56JeLenBV,2026-06-12T04:06:36.000Z,Senior Manager - Digital Product Manager,cvshealth,A,auto-submit re-run 2026-06-02,2026-05-28,Blocked,111
recHIsOVRZdJOwb4T,2026-07-22T05:17:55.000Z,"Group Product Manager, Platform (Manager)",Lambda Labs,C,,,,
recHZiAXKmcCXtfN5,2026-07-22T05:17:55.000Z,"Senior Product Manager - Platform, Policy, Approval and Inbox",Delinea,C,,,,
recHZsL7vQNyJxPXy,2026-06-12T04:08:07.000Z,Release Train Engineer - Resilient Connectivity Products (Onsite),raytheon,A,auto-submit re-run 2026-06-03,2026-06-03,Blocked,156
recHp3yg5pAq6JOyg,2026-06-18T05:14:30.000Z,"Product Manager, Workspaces",Notion,B,,,,
recHuoiEK5y4WkjLk,2026-06-12T04:04:47.000Z,Sr TPM Professional Services,databricks,4.5/5,bat 6:10am — unverified (no confirm signal check pre-fix),2026-05-21,Submitted,80
recI6v62vg9SeEYpg,2026-06-12T04:04:47.000Z,"Senior Technical Program Manager, Product",gleanwork,4.0/5,auto-submit re-run 2026-05-21,2026-05-07,Blocked,5
recIK13J8L0GBX7wz,2026-07-03T05:16:50.000Z,Senior Product Manager,Samsara,C,,,,
recISPMc6oM00B8Yl,2026-06-18T05:14:30.000Z,Scrum Master,Impiricus,B,,,,
recITKYscXlYMcNjS,2026-07-07T05:18:31.000Z,"Technical Program Manager Lead, Network Delivery Implementation",Google,B,"Manually filed by Rahil via job-board screenshot, not auto-scanned. Graded with worker-grader.mjs keyword-count rubric (2 keyword matches = B). 12 LinkedIn connections on file at Google, incl. Naeem Charania (Program Manager, Google Search) — a closer titled match than Grace Kang; engine convention uses first list match only, worth a manual look.",,,
recIpFVFkf5VFF1Pv,2026-06-12T04:06:36.000Z,Commercial Solutions Program Manager,stripe,B,auto-submit re-run 2026-05-24,2026-05-23,Blocked,87
recItuujEFeazCTZ4,2026-07-24T05:17:43.000Z,"Product Manager, Zero Trust Authentication",Okta,C,,,,
recJ000zI3zLrTsuS,2026-06-12T04:08:07.000Z,"Senior PD Program Manager – CST – Memphis, TN or Lafayette, CO (Onsite)",medtronic,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,179
recJ1a8wqYSREROb9,2026-07-04T05:16:44.000Z,"Senior Product Manager, AI",Brex,C,,,,
recJ7SYKn6k1eu03P,2026-07-16T03:23:37.000Z,Product Manager,Delinea,C,,,,
recJQ60CEDzx4SoO6,2026-06-12T04:04:47.000Z,Technical Program Manager Risk,stripe,—,TD-19: search URL not listing URL,2026-05-21,Blocked,71
recJRUHB1w5FWVUiu,2026-06-18T05:14:29.000Z,"Program Manager, GTM Planning",Stripe,B,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
recJdZni4B86NDeVf,2026-06-12T04:06:36.000Z,Global Trade (GT) Program Management Office (PMO) Learning & Site Lead Program Lead (Remote),raytheon,A,auto-submit re-run 2026-06-03,2026-05-29,Blocked,130
recK2AHdbNTfLajiX,2026-07-04T05:16:44.000Z,Sr. Product Manager,Okta,C,,,,
recK9dwPk2ndyRi5d,2026-06-30T13:29:41.000Z,Coupa Program Manager (Afternoon Shift),Anaplan,C,,,,
recKgd33WPx5Fuyn7,2026-06-12T04:08:07.000Z,Senior Product Manager,wf,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,176
recKmKnCmghG60vC1,2026-06-12T04:06:36.000Z,Technical Program Manager,spruceid,4.0/5,bat 6:10am — unverified (no confirm signal check pre-fix),2026-05-21,Submitted,83
recKrWTEWK2aZjAiM,2026-07-16T03:23:37.000Z,"Staff Product Manager, Issuing",Stripe,C,,,,
recKsdKwB8T2A2yud,2026-07-05T05:17:21.000Z,"Product Manager, Intake & Orchestration - 11636",Coupa Software,C,,,,
recKuThdrc3rsd4vf,2026-06-12T04:06:36.000Z,"Senior Manager, Cyber Program Manager (Remote)",raytheon,A,auto-submit re-run 2026-06-03,2026-05-29,Blocked,131
recL0NRSFXkL7KD4n,2026-06-12T04:08:07.000Z,"Engineering Program Manager - Santa Ana, CA",medtronic,B,auto-submit re-run 2026-06-06,2026-06-03,Blocked,167
recLCX0vZejmBxURX,2026-06-12T04:04:47.000Z,Senior Scrum Master,anaplan,5.0/5,auto-submit re-run 2026-05-21,2026-05-14,Blocked,31
recLDv8N9qltZAIVb,2026-06-21T08:02:16.000Z,Senior Principal Product Manager - Enterprise,Toast,C,,,,
recLd0648y0ceCqMz,2026-07-07T05:18:31.000Z,"Technical Program Manager, Link",Stripe,B,,,,
recLwamWmzR0dr4g1,2026-06-26T05:15:06.000Z,"[Job-30043] Data Product Manager, Brazil",CI&T,C,,,,
recM8BVTjECAqqfPi,2026-06-12T04:04:47.000Z,IT Delivery Manager,careers,4.0/5,auto-submit,2026-05-19,Evaluated,65
recM8esBQAXen8VVe,2026-06-12T04:04:47.000Z,"Senior Principal, Technical Program Management (Research & Development)",twilio,5.0/5,auto-submit re-run 2026-05-21,2026-05-13,Blocked,17
recMDtRcU6Kj3D15b,2026-06-12T04:04:47.000Z,PM GTM Strategic Programs,stripe,—,TD-19: search URL not listing URL,2026-05-21,Blocked,75
recMwaKtMQKND9iQH,2026-06-12T04:06:36.000Z,Senior Project Manager,motorolasolutions,B,auto-submit re-run 2026-06-03,2026-05-28,Blocked,104
recNBLeiXXqHIGRbg,2026-06-12T04:04:47.000Z,Commercial Solutions PM,stripe,—,TD-19: search URL not listing URL,2026-05-21,Blocked,72
recNHw0DCTqxlOel0,2026-06-12T04:08:07.000Z,Sr PD Program Manager - EU MDR Leader,medtronic,A,auto-submit re-run 2026-06-04,2026-06-03,Blocked,178
recNP1pDJ2P8CThas,2026-06-12T04:08:07.000Z,Senior Technical Project Manager - Tac Comm (Onsite),raytheon,B,auto-submit re-run 2026-06-03,2026-06-02,Blocked,150
recNQ4Pu0EcRw9uYP,2026-06-18T05:14:29.000Z,Project Manager,AHEAD,C,,,,
recNQFun5E1RiZi19,2026-06-18T05:14:31.000Z,"Marketing Operations Program Manager, Sold Funnel",Stripe,B,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
recNRMmAj5XCR5Ugu,2026-07-04T05:16:44.000Z,Business Strategy Analyst/Program Manager - 11634,Coupa Software,C,,,,
recNZ7ZfvTdzMsjCR,2026-06-12T04:08:07.000Z,IT Program Manager,medtronic,A,auto-submit re-run 2026-06-04,2026-06-03,Blocked,159
recO6lts4M7LwrPcC,2026-06-12T04:04:47.000Z,Unknown Role,brex,4.0/5,auto-submit re-run 2026-05-21,2026-05-14,Blocked,37
recOPKo7IX2Cu1LsO,2026-06-12T04:08:07.000Z,Principal Technical Program Manager - AI,motorolasolutions,A,auto-submit re-run 2026-06-03,2026-06-03,Blocked,161
recOXLpeqdOoFyFnX,2026-06-12T04:06:36.000Z,Senior Product Manager,humana,B,auto-submit re-run 2026-05-26,2026-05-23,Blocked,91
recOxnQepVH9IaOJt,2026-07-22T05:17:56.000Z,"Principal Technical Program Manager, Toast IQ",Toast,B,,,,
recPFAO6nwcFEwl0J,2026-06-12T04:08:07.000Z,Senior Technical Product Manager - AI Decision Intelligence Platform,cvshealth,A,auto-submit re-run 2026-06-07,2026-06-03,Blocked,173
recPlfJXqrAwpVuw2,2026-06-12T04:06:36.000Z,"Lead Product Manager, Enabling Platforms",humana,A,auto-submit re-run 2026-06-01,2026-05-28,Blocked,117
recPnXOwudoXPADvf,2026-07-24T05:17:42.000Z,Senior Product Manager - Okta Device Access,Okta,C,,,,
recPyR0f1B2y0PCsO,2026-06-21T08:02:16.000Z,"Senior Principal Product Manager, Applications",Anaplan,C,,,,
recQDArMtV13SiCZX,2026-06-18T05:14:30.000Z,"Program Manager, Third Party Risk",Stripe,C,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
recQq6stBKDLPXMmz,2026-06-12T04:06:36.000Z,AD  Program Mgmt  Medicaid Ops PMO R 417835,humana,A,auto-submit re-run 2026-06-02,2026-05-29,Blocked,132
recQyFTT1krUYEVGn,2026-06-12T04:08:07.000Z,Manufacturing Professional Training Lead   Staff Project Manager R10234415,northrop grumman,B,auto-submit re-run 2026-06-02,2026-05-29,Blocked,137
recRCtIAVo7E0bzUA,2026-07-14T05:16:22.000Z,"Principal Program Manager, Technical Product Learning – Technical Solutions Enablement",Datadog,C,,,,
recRPzP4MxteFgDbf,2026-07-09T05:16:00.000Z,Technical Product Manager,Samsara,C,,,,
